,index,Unnamed: 0,Month,Location,N_Fleet_type,Cycle,Count,Departing Station,N_Fleet_Type,Quarter,dist,Final_head_count,Last_head_count
0,0,0,July,YUL,F-347,2.0,40,YUL,F-347,N(1),0.3597650513950073,14.390602055800292,14
1,1,1,July,YUL,F-347,2.0,40,YUL,F-347,N(2),0.2958883994126284,11.835535976505138,12
2,2,2,July,YUL,F-347,2.0,40,YUL,F-347,N(3),0.3443465491923642,13.773861967694568,14
3,3,3,July,YUL,F-347,2.0,40,YUL,F-347,N(4),0.0,0.0,0
4,4,4,July,YUL,F-347,1.0,40,YUL,F-347,N(1),0.3597650513950073,14.390602055800292,14
5,5,5,July,YUL,F-347,1.0,40,YUL,F-347,N(2),0.2958883994126284,11.835535976505138,12
6,6,6,July,YUL,F-347,1.0,40,YUL,F-347,N(3),0.3443465491923642,13.773861967694568,14
7,7,7,July,YUL,F-347,1.0,40,YUL,F-347,N(4),0.0,0.0,0
8,8,8,August,YUL,F-347,2.0,40,YUL,F-347,N(1),0.3597650513950073,14.390602055800292,14
9,9,9,August,YUL,F-347,2.0,40,YUL,F-347,N(2),0.2958883994126284,11.835535976505138,12
10,10,10,August,YUL,F-347,2.0,40,YUL,F-347,N(3),0.3443465491923642,13.773861967694568,14
11,11,11,August,YUL,F-347,2.0,40,YUL,F-347,N(4),0.0,0.0,0
12,12,12,August,YUL,F-347,1.0,40,YUL,F-347,N(1),0.3597650513950073,14.390602055800292,14
13,13,13,August,YUL,F-347,1.0,40,YUL,F-347,N(2),0.2958883994126284,11.835535976505138,12
14,14,14,August,YUL,F-347,1.0,40,YUL,F-347,N(3),0.3443465491923642,13.773861967694568,14
15,15,15,August,YUL,F-347,1.0,40,YUL,F-347,N(4),0.0,0.0,0
16,16,16,September,YUL,F-347,1.0,40,YUL,F-347,N(1),0.3597650513950073,14.390602055800292,14
17,17,17,September,YUL,F-347,1.0,40,YUL,F-347,N(2),0.2958883994126284,11.835535976505138,12
18,18,18,September,YUL,F-347,1.0,40,YUL,F-347,N(3),0.3443465491923642,13.773861967694568,14
19,19,19,September,YUL,F-347,1.0,40,YUL,F-347,N(4),0.0,0.0,0
20,20,20,September,YUL,F-347,2.0,40,YUL,F-347,N(1),0.3597650513950073,14.390602055800292,14
21,21,21,September,YUL,F-347,2.0,40,YUL,F-347,N(2),0.2958883994126284,11.835535976505138,12
22,22,22,September,YUL,F-347,2.0,40,YUL,F-347,N(3),0.3443465491923642,13.773861967694568,14
23,23,23,September,YUL,F-347,2.0,40,YUL,F-347,N(4),0.0,0.0,0
24,24,24,October,YUL,F-347,1.0,40,YUL,F-347,N(1),0.3597650513950073,14.390602055800292,14
25,25,25,October,YUL,F-347,1.0,40,YUL,F-347,N(2),0.2958883994126284,11.835535976505138,12
26,26,26,October,YUL,F-347,1.0,40,YUL,F-347,N(3),0.3443465491923642,13.773861967694568,14
27,27,27,October,YUL,F-347,1.0,40,YUL,F-347,N(4),0.0,0.0,0
28,28,28,October,YUL,F-347,2.0,40,YUL,F-347,N(1),0.3597650513950073,14.390602055800292,14
29,29,29,October,YUL,F-347,2.0,40,YUL,F-347,N(2),0.2958883994126284,11.835535976505138,12
30,30,30,October,YUL,F-347,2.0,40,YUL,F-347,N(3),0.3443465491923642,13.773861967694568,14
31,31,31,October,YUL,F-347,2.0,40,YUL,F-347,N(4),0.0,0.0,0
32,32,32,November,YUL,F-347,2.0,40,YUL,F-347,N(1),0.3597650513950073,14.390602055800292,14
33,33,33,November,YUL,F-347,2.0,40,YUL,F-347,N(2),0.2958883994126284,11.835535976505138,12
34,34,34,November,YUL,F-347,2.0,40,YUL,F-347,N(3),0.3443465491923642,13.773861967694568,14
35,35,35,November,YUL,F-347,2.0,40,YUL,F-347,N(4),0.0,0.0,0
36,36,36,November,YUL,F-347,1.0,40,YUL,F-347,N(1),0.3597650513950073,14.390602055800292,14
37,37,37,November,YUL,F-347,1.0,40,YUL,F-347,N(2),0.2958883994126284,11.835535976505138,12
38,38,38,November,YUL,F-347,1.0,40,YUL,F-347,N(3),0.3443465491923642,13.773861967694568,14
39,39,39,November,YUL,F-347,1.0,40,YUL,F-347,N(4),0.0,0.0,0
40,40,40,December,YUL,F-347,2.0,40,YUL,F-347,N(1),0.3597650513950073,14.390602055800292,14
41,41,41,December,YUL,F-347,2.0,40,YUL,F-347,N(2),0.2958883994126284,11.835535976505138,12
42,42,42,December,YUL,F-347,2.0,40,YUL,F-347,N(3),0.3443465491923642,13.773861967694568,14
43,43,43,December,YUL,F-347,2.0,40,YUL,F-347,N(4),0.0,0.0,0
44,44,44,December,YUL,F-347,1.0,40,YUL,F-347,N(1),0.3597650513950073,14.390602055800292,14
45,45,45,December,YUL,F-347,1.0,40,YUL,F-347,N(2),0.2958883994126284,11.835535976505138,12
46,46,46,December,YUL,F-347,1.0,40,YUL,F-347,N(3),0.3443465491923642,13.773861967694568,14
47,47,47,December,YUL,F-347,1.0,40,YUL,F-347,N(4),0.0,0.0,0
48,48,48,January,YUL,F-347,1.0,41,YUL,F-347,N(1),0.3597650513950073,14.7503671071953,15
49,49,49,January,YUL,F-347,1.0,41,YUL,F-347,N(2),0.2958883994126284,12.131424375917767,12
50,50,50,January,YUL,F-347,1.0,41,YUL,F-347,N(3),0.3443465491923642,14.11820851688693,14
51,51,51,January,YUL,F-347,1.0,41,YUL,F-347,N(4),0.0,0.0,0
52,52,52,January,YUL,F-347,2.0,41,YUL,F-347,N(1),0.3597650513950073,14.7503671071953,15
53,53,53,January,YUL,F-347,2.0,41,YUL,F-347,N(2),0.2958883994126284,12.131424375917767,12
54,54,54,January,YUL,F-347,2.0,41,YUL,F-347,N(3),0.3443465491923642,14.11820851688693,14
55,55,55,January,YUL,F-347,2.0,41,YUL,F-347,N(4),0.0,0.0,0
56,56,56,July,YUL,F-295,2.0,19,YUL,F-295,N(1),0.2871287128712871,5.455445544554455,5
57,57,57,July,YUL,F-295,2.0,19,YUL,F-295,N(2),0.3267326732673267,6.207920792079208,6
58,58,58,July,YUL,F-295,2.0,19,YUL,F-295,N(3),0.2673267326732673,5.079207920792079,6
59,59,59,July,YUL,F-295,2.0,19,YUL,F-295,N(4),0.1188118811881188,2.257425742574257,2
60,60,60,July,YUL,F-295,1.0,19,YUL,F-295,N(1),0.2871287128712871,5.455445544554455,5
61,61,61,July,YUL,F-295,1.0,19,YUL,F-295,N(2),0.3267326732673267,6.207920792079208,6
62,62,62,July,YUL,F-295,1.0,19,YUL,F-295,N(3),0.2673267326732673,5.079207920792079,6
63,63,63,July,YUL,F-295,1.0,19,YUL,F-295,N(4),0.1188118811881188,2.257425742574257,2
64,64,64,August,YUL,F-295,2.0,19,YUL,F-295,N(1),0.2871287128712871,5.455445544554455,5
65,65,65,August,YUL,F-295,2.0,19,YUL,F-295,N(2),0.3267326732673267,6.207920792079208,6
66,66,66,August,YUL,F-295,2.0,19,YUL,F-295,N(3),0.2673267326732673,5.079207920792079,6
67,67,67,August,YUL,F-295,2.0,19,YUL,F-295,N(4),0.1188118811881188,2.257425742574257,2
68,68,68,August,YUL,F-295,1.0,19,YUL,F-295,N(1),0.2871287128712871,5.455445544554455,5
69,69,69,August,YUL,F-295,1.0,19,YUL,F-295,N(2),0.3267326732673267,6.207920792079208,6
70,70,70,August,YUL,F-295,1.0,19,YUL,F-295,N(3),0.2673267326732673,5.079207920792079,6
71,71,71,August,YUL,F-295,1.0,19,YUL,F-295,N(4),0.1188118811881188,2.257425742574257,2
72,72,72,September,YUL,F-295,1.0,19,YUL,F-295,N(1),0.2871287128712871,5.455445544554455,5
73,73,73,September,YUL,F-295,1.0,19,YUL,F-295,N(2),0.3267326732673267,6.207920792079208,6
74,74,74,September,YUL,F-295,1.0,19,YUL,F-295,N(3),0.2673267326732673,5.079207920792079,6
75,75,75,September,YUL,F-295,1.0,19,YUL,F-295,N(4),0.1188118811881188,2.257425742574257,2
76,76,76,September,YUL,F-295,2.0,19,YUL,F-295,N(1),0.2871287128712871,5.455445544554455,5
77,77,77,September,YUL,F-295,2.0,19,YUL,F-295,N(2),0.3267326732673267,6.207920792079208,6
78,78,78,September,YUL,F-295,2.0,19,YUL,F-295,N(3),0.2673267326732673,5.079207920792079,6
79,79,79,September,YUL,F-295,2.0,19,YUL,F-295,N(4),0.1188118811881188,2.257425742574257,2
80,80,80,October,YUL,F-295,1.0,19,YUL,F-295,N(1),0.2871287128712871,5.455445544554455,5
81,81,81,October,YUL,F-295,1.0,19,YUL,F-295,N(2),0.3267326732673267,6.207920792079208,6
82,82,82,October,YUL,F-295,1.0,19,YUL,F-295,N(3),0.2673267326732673,5.079207920792079,6
83,83,83,October,YUL,F-295,1.0,19,YUL,F-295,N(4),0.1188118811881188,2.257425742574257,2
84,84,84,October,YUL,F-295,2.0,19,YUL,F-295,N(1),0.2871287128712871,5.455445544554455,5
85,85,85,October,YUL,F-295,2.0,19,YUL,F-295,N(2),0.3267326732673267,6.207920792079208,6
86,86,86,October,YUL,F-295,2.0,19,YUL,F-295,N(3),0.2673267326732673,5.079207920792079,6
87,87,87,October,YUL,F-295,2.0,19,YUL,F-295,N(4),0.1188118811881188,2.257425742574257,2
88,88,88,November,YUL,F-295,2.0,19,YUL,F-295,N(1),0.2871287128712871,5.455445544554455,5
89,89,89,November,YUL,F-295,2.0,19,YUL,F-295,N(2),0.3267326732673267,6.207920792079208,6
90,90,90,November,YUL,F-295,2.0,19,YUL,F-295,N(3),0.2673267326732673,5.079207920792079,6
91,91,91,November,YUL,F-295,2.0,19,YUL,F-295,N(4),0.1188118811881188,2.257425742574257,2
92,92,92,November,YUL,F-295,1.0,19,YUL,F-295,N(1),0.2871287128712871,5.455445544554455,5
93,93,93,November,YUL,F-295,1.0,19,YUL,F-295,N(2),0.3267326732673267,6.207920792079208,6
94,94,94,November,YUL,F-295,1.0,19,YUL,F-295,N(3),0.2673267326732673,5.079207920792079,6
95,95,95,November,YUL,F-295,1.0,19,YUL,F-295,N(4),0.1188118811881188,2.257425742574257,2
96,96,96,December,YUL,F-295,2.0,19,YUL,F-295,N(1),0.2871287128712871,5.455445544554455,5
97,97,97,December,YUL,F-295,2.0,19,YUL,F-295,N(2),0.3267326732673267,6.207920792079208,6
98,98,98,December,YUL,F-295,2.0,19,YUL,F-295,N(3),0.2673267326732673,5.079207920792079,6
99,99,99,December,YUL,F-295,2.0,19,YUL,F-295,N(4),0.1188118811881188,2.257425742574257,2
100,100,100,December,YUL,F-295,1.0,19,YUL,F-295,N(1),0.2871287128712871,5.455445544554455,5
101,101,101,December,YUL,F-295,1.0,19,YUL,F-295,N(2),0.3267326732673267,6.207920792079208,6
102,102,102,December,YUL,F-295,1.0,19,YUL,F-295,N(3),0.2673267326732673,5.079207920792079,6
103,103,103,December,YUL,F-295,1.0,19,YUL,F-295,N(4),0.1188118811881188,2.257425742574257,2
104,104,104,January,YUL,F-295,1.0,20,YUL,F-295,N(1),0.2871287128712871,5.742574257425742,6
105,105,105,January,YUL,F-295,1.0,20,YUL,F-295,N(2),0.3267326732673267,6.534653465346535,7
106,106,106,January,YUL,F-295,1.0,20,YUL,F-295,N(3),0.2673267326732673,5.346534653465347,5
107,107,107,January,YUL,F-295,1.0,20,YUL,F-295,N(4),0.1188118811881188,2.376237623762376,2
108,108,108,January,YUL,F-295,2.0,19,YUL,F-295,N(1),0.2871287128712871,5.455445544554455,5
109,109,109,January,YUL,F-295,2.0,19,YUL,F-295,N(2),0.3267326732673267,6.207920792079208,6
110,110,110,January,YUL,F-295,2.0,19,YUL,F-295,N(3),0.2673267326732673,5.079207920792079,6
111,111,111,January,YUL,F-295,2.0,19,YUL,F-295,N(4),0.1188118811881188,2.257425742574257,2
112,126,126,July,YUL,F-855,2.0,14,YUL,F-855,N(1),0.1809145129224652,2.532803180914513,3
113,127,127,July,YUL,F-855,2.0,14,YUL,F-855,N(2),0.8190854870775348,11.467196819085489,11
114,128,128,July,YUL,F-855,2.0,14,YUL,F-855,N(3),0.0,0.0,0
115,129,129,July,YUL,F-855,2.0,14,YUL,F-855,N(4),0.0,0.0,0
116,130,130,July,YUL,F-855,1.0,14,YUL,F-855,N(1),0.1809145129224652,2.532803180914513,3
117,131,131,July,YUL,F-855,1.0,14,YUL,F-855,N(2),0.8190854870775348,11.467196819085489,11
118,132,132,July,YUL,F-855,1.0,14,YUL,F-855,N(3),0.0,0.0,0
119,133,133,July,YUL,F-855,1.0,14,YUL,F-855,N(4),0.0,0.0,0
120,134,134,August,YUL,F-855,2.0,14,YUL,F-855,N(1),0.1809145129224652,2.532803180914513,3
121,135,135,August,YUL,F-855,2.0,14,YUL,F-855,N(2),0.8190854870775348,11.467196819085489,11
122,136,136,August,YUL,F-855,2.0,14,YUL,F-855,N(3),0.0,0.0,0
123,137,137,August,YUL,F-855,2.0,14,YUL,F-855,N(4),0.0,0.0,0
124,138,138,August,YUL,F-855,1.0,14,YUL,F-855,N(1),0.1809145129224652,2.532803180914513,3
125,139,139,August,YUL,F-855,1.0,14,YUL,F-855,N(2),0.8190854870775348,11.467196819085489,11
126,140,140,August,YUL,F-855,1.0,14,YUL,F-855,N(3),0.0,0.0,0
127,141,141,August,YUL,F-855,1.0,14,YUL,F-855,N(4),0.0,0.0,0
128,142,142,September,YUL,F-855,1.0,14,YUL,F-855,N(1),0.1809145129224652,2.532803180914513,3
129,143,143,September,YUL,F-855,1.0,14,YUL,F-855,N(2),0.8190854870775348,11.467196819085489,11
130,144,144,September,YUL,F-855,1.0,14,YUL,F-855,N(3),0.0,0.0,0
131,145,145,September,YUL,F-855,1.0,14,YUL,F-855,N(4),0.0,0.0,0
132,146,146,September,YUL,F-855,2.0,14,YUL,F-855,N(1),0.1809145129224652,2.532803180914513,3
133,147,147,September,YUL,F-855,2.0,14,YUL,F-855,N(2),0.8190854870775348,11.467196819085489,11
134,148,148,September,YUL,F-855,2.0,14,YUL,F-855,N(3),0.0,0.0,0
135,149,149,September,YUL,F-855,2.0,14,YUL,F-855,N(4),0.0,0.0,0
136,150,150,October,YUL,F-855,1.0,14,YUL,F-855,N(1),0.1809145129224652,2.532803180914513,3
137,151,151,October,YUL,F-855,1.0,14,YUL,F-855,N(2),0.8190854870775348,11.467196819085489,11
138,152,152,October,YUL,F-855,1.0,14,YUL,F-855,N(3),0.0,0.0,0
139,153,153,October,YUL,F-855,1.0,14,YUL,F-855,N(4),0.0,0.0,0
140,154,154,October,YUL,F-855,2.0,14,YUL,F-855,N(1),0.1809145129224652,2.532803180914513,3
141,155,155,October,YUL,F-855,2.0,14,YUL,F-855,N(2),0.8190854870775348,11.467196819085489,11
142,156,156,October,YUL,F-855,2.0,14,YUL,F-855,N(3),0.0,0.0,0
143,157,157,October,YUL,F-855,2.0,14,YUL,F-855,N(4),0.0,0.0,0
144,158,158,November,YUL,F-855,2.0,14,YUL,F-855,N(1),0.1809145129224652,2.532803180914513,3
145,159,159,November,YUL,F-855,2.0,14,YUL,F-855,N(2),0.8190854870775348,11.467196819085489,11
146,160,160,November,YUL,F-855,2.0,14,YUL,F-855,N(3),0.0,0.0,0
147,161,161,November,YUL,F-855,2.0,14,YUL,F-855,N(4),0.0,0.0,0
148,162,162,November,YUL,F-855,1.0,14,YUL,F-855,N(1),0.1809145129224652,2.532803180914513,3
149,163,163,November,YUL,F-855,1.0,14,YUL,F-855,N(2),0.8190854870775348,11.467196819085489,11
150,164,164,November,YUL,F-855,1.0,14,YUL,F-855,N(3),0.0,0.0,0
151,165,165,November,YUL,F-855,1.0,14,YUL,F-855,N(4),0.0,0.0,0
152,166,166,December,YUL,F-855,2.0,14,YUL,F-855,N(1),0.1809145129224652,2.532803180914513,3
153,167,167,December,YUL,F-855,2.0,14,YUL,F-855,N(2),0.8190854870775348,11.467196819085489,11
154,168,168,December,YUL,F-855,2.0,14,YUL,F-855,N(3),0.0,0.0,0
155,169,169,December,YUL,F-855,2.0,14,YUL,F-855,N(4),0.0,0.0,0
156,170,170,December,YUL,F-855,1.0,14,YUL,F-855,N(1),0.1809145129224652,2.532803180914513,3
157,171,171,December,YUL,F-855,1.0,14,YUL,F-855,N(2),0.8190854870775348,11.467196819085489,11
158,172,172,December,YUL,F-855,1.0,14,YUL,F-855,N(3),0.0,0.0,0
159,173,173,December,YUL,F-855,1.0,14,YUL,F-855,N(4),0.0,0.0,0
160,174,174,January,YUL,F-855,1.0,15,YUL,F-855,N(1),0.1809145129224652,2.713717693836978,3
161,175,175,January,YUL,F-855,1.0,15,YUL,F-855,N(2),0.8190854870775348,12.286282306163022,12
162,176,176,January,YUL,F-855,1.0,15,YUL,F-855,N(3),0.0,0.0,0
163,177,177,January,YUL,F-855,1.0,15,YUL,F-855,N(4),0.0,0.0,0
164,178,178,January,YUL,F-855,2.0,15,YUL,F-855,N(1),0.1809145129224652,2.713717693836978,3
165,179,179,January,YUL,F-855,2.0,15,YUL,F-855,N(2),0.8190854870775348,12.286282306163022,12
166,180,180,January,YUL,F-855,2.0,15,YUL,F-855,N(3),0.0,0.0,0
167,181,181,January,YUL,F-855,2.0,15,YUL,F-855,N(4),0.0,0.0,0
168,182,182,July,YUL,F-630,2.0,22,YUL,F-630,N(1),0.4612850082372323,10.148270181219113,10
169,183,183,July,YUL,F-630,2.0,22,YUL,F-630,N(2),0.3937397034596375,8.662273476112025,9
170,184,184,July,YUL,F-630,2.0,22,YUL,F-630,N(3),0.1449752883031301,3.189456342668863,3
171,185,185,July,YUL,F-630,2.0,22,YUL,F-630,N(4),0.0,0.0,0
172,186,186,July,YUL,F-630,1.0,22,YUL,F-630,N(1),0.4612850082372323,10.148270181219113,10
173,187,187,July,YUL,F-630,1.0,22,YUL,F-630,N(2),0.3937397034596375,8.662273476112025,9
174,188,188,July,YUL,F-630,1.0,22,YUL,F-630,N(3),0.1449752883031301,3.189456342668863,3
175,189,189,July,YUL,F-630,1.0,22,YUL,F-630,N(4),0.0,0.0,0
176,190,190,August,YUL,F-630,2.0,22,YUL,F-630,N(1),0.4612850082372323,10.148270181219113,10
177,191,191,August,YUL,F-630,2.0,22,YUL,F-630,N(2),0.3937397034596375,8.662273476112025,9
178,192,192,August,YUL,F-630,2.0,22,YUL,F-630,N(3),0.1449752883031301,3.189456342668863,3
179,193,193,August,YUL,F-630,2.0,22,YUL,F-630,N(4),0.0,0.0,0
180,194,194,August,YUL,F-630,1.0,22,YUL,F-630,N(1),0.4612850082372323,10.148270181219113,10
181,195,195,August,YUL,F-630,1.0,22,YUL,F-630,N(2),0.3937397034596375,8.662273476112025,9
182,196,196,August,YUL,F-630,1.0,22,YUL,F-630,N(3),0.1449752883031301,3.189456342668863,3
183,197,197,August,YUL,F-630,1.0,22,YUL,F-630,N(4),0.0,0.0,0
184,198,198,September,YUL,F-630,1.0,22,YUL,F-630,N(1),0.4612850082372323,10.148270181219113,10
185,199,199,September,YUL,F-630,1.0,22,YUL,F-630,N(2),0.3937397034596375,8.662273476112025,9
186,200,200,September,YUL,F-630,1.0,22,YUL,F-630,N(3),0.1449752883031301,3.189456342668863,3
187,201,201,September,YUL,F-630,1.0,22,YUL,F-630,N(4),0.0,0.0,0
188,202,202,September,YUL,F-630,2.0,22,YUL,F-630,N(1),0.4612850082372323,10.148270181219113,10
189,203,203,September,YUL,F-630,2.0,22,YUL,F-630,N(2),0.3937397034596375,8.662273476112025,9
190,204,204,September,YUL,F-630,2.0,22,YUL,F-630,N(3),0.1449752883031301,3.189456342668863,3
191,205,205,September,YUL,F-630,2.0,22,YUL,F-630,N(4),0.0,0.0,0
