,Month,Location,N_Fleet_type,Cycle,Count,Departing Station,N_Fleet_Type,Quarter,dist,Final_head_count,Last_head_count
0,July,YUL,F-347,2.0,40.0,YUL,F-347,N(1),0.3597650513950073,14.390602055800292,14.0
1,July,YUL,F-347,2.0,40.0,YUL,F-347,N(2),0.29588839941262846,11.835535976505138,12.0
2,July,YUL,F-347,2.0,40.0,YUL,F-347,N(3),0.3443465491923642,13.773861967694568,14.0
3,July,YUL,F-347,2.0,40.0,YUL,F-347,N(4),0.0,0.0,0.0
4,July,YUL,F-347,1.0,40.0,YUL,F-347,N(1),0.3597650513950073,14.390602055800292,14.0
5,July,YUL,F-347,1.0,40.0,YUL,F-347,N(2),0.29588839941262846,11.835535976505138,12.0
6,July,YUL,F-347,1.0,40.0,YUL,F-347,N(3),0.3443465491923642,13.773861967694568,14.0
7,July,YUL,F-347,1.0,40.0,YUL,F-347,N(4),0.0,0.0,0.0
8,August,YUL,F-347,2.0,40.0,YUL,F-347,N(1),0.3597650513950073,14.390602055800292,14.0
9,August,YUL,F-347,2.0,40.0,YUL,F-347,N(2),0.29588839941262846,11.835535976505138,12.0
10,August,YUL,F-347,2.0,40.0,YUL,F-347,N(3),0.3443465491923642,13.773861967694568,14.0
11,August,YUL,F-347,2.0,40.0,YUL,F-347,N(4),0.0,0.0,0.0
12,August,YUL,F-347,1.0,40.0,YUL,F-347,N(1),0.3597650513950073,14.390602055800292,14.0
13,August,YUL,F-347,1.0,40.0,YUL,F-347,N(2),0.29588839941262846,11.835535976505138,12.0
14,August,YUL,F-347,1.0,40.0,YUL,F-347,N(3),0.3443465491923642,13.773861967694568,14.0
15,August,YUL,F-347,1.0,40.0,YUL,F-347,N(4),0.0,0.0,0.0
16,September,YUL,F-347,1.0,40.0,YUL,F-347,N(1),0.3597650513950073,14.390602055800292,14.0
17,September,YUL,F-347,1.0,40.0,YUL,F-347,N(2),0.29588839941262846,11.835535976505138,12.0
18,September,YUL,F-347,1.0,40.0,YUL,F-347,N(3),0.3443465491923642,13.773861967694568,14.0
19,September,YUL,F-347,1.0,40.0,YUL,F-347,N(4),0.0,0.0,0.0
20,September,YUL,F-347,2.0,40.0,YUL,F-347,N(1),0.3597650513950073,14.390602055800292,14.0
21,September,YUL,F-347,2.0,40.0,YUL,F-347,N(2),0.29588839941262846,11.835535976505138,12.0
