,FIN Number,Fleet Type,DEFECT_TYPE,DUE_DATE,MAN_HOURS_VALUE
0,5136.0,F-630,M,2022-10-13 21:26:17,100.0
1,4114.0,F-192,M,2022-08-09 21:24:02,44.0
2,1605.0,F-286,M,2022-09-28 21:26:17,40.0
3,4848.0,F-630,M,2022-09-27 21:26:17,40.0
4,2802.0,F-231,L,2022-08-09 00:00:00,24.0
5,4060.0,F-670,L,2022-09-26 21:26:17,24.0
6,5864.0,F-855,M,2022-12-05 02:59:05,22.0
7,6204.0,F-295,M,2022-10-07 21:26:17,20.0
8,7667.0,F-546,M,2022-09-25 21:26:17,16.0
9,3808.0,F-192,M,2022-10-04 21:26:17,16.0
10,5864.0,F-855,M,2022-12-05 02:59:05,15.0
11,3380.0,F-630,M,2022-11-14 21:26:17,15.0
12,5817.0,F-630,M,2022-10-26 21:26:17,15.0
13,4788.0,F-670,L,2022-11-06 21:26:17,12.0
14,4848.0,F-630,M,2022-09-27 21:26:17,12.0
15,8240.0,F-295,M,2022-08-14 21:26:17,12.0
16,2817.0,F-231,M,2022-08-07 21:26:17,12.0
17,7644.0,F-690,M,2022-08-07 21:24:02,12.0
18,3808.0,F-192,M,2022-12-30 21:26:17,12.0
19,4641.0,F-670,M,2022-08-26 07:12:57,12.0
20,9126.0,F-855,M,2022-08-10 21:26:17,12.0
21,5136.0,F-630,L,2022-08-12 21:24:02,12.0
22,1590.0,F-286,M,2022-08-04 21:26:17,11.0
23,6615.0,F-231,M,2022-08-08 21:26:17,10.0
24,4675.0,F-231,M,2023-01-27 21:26:17,10.0
25,1380.0,F-286,M,2022-08-09 21:26:17,10.0
26,2944.0,F-855,L,2022-08-23 21:26:17,10.0
27,4285.0,F-630,M,2022-09-27 21:26:17,10.0
28,5166.0,F-855,M,2022-11-13 21:26:17,10.0
29,3700.0,F-855,L,2022-08-02 16:58:31,10.0
30,4811.0,F-670,M,2022-08-05 00:00:00,10.0
31,2210.0,F-286,M,2022-08-06 00:00:00,10.0
32,9519.0,F-295,M,2022-11-11 21:26:17,10.0
33,2802.0,F-231,L,2022-08-13 21:24:02,10.0
34,3388.0,F-630,M,2022-12-24 21:26:17,10.0
35,1605.0,F-286,M,2022-09-28 21:26:17,10.0
36,5124.0,F-855,M,2022-08-09 21:26:17,10.0
37,3700.0,F-855,M,2022-08-13 21:26:17,10.0
38,8224.0,F-295,M,2022-12-29 21:26:17,10.0
39,8224.0,F-295,M,2022-08-20 21:26:17,10.0
40,1605.0,F-286,M,2022-09-28 21:26:17,10.0
41,6120.0,F-192,M,2023-01-09 07:12:57,10.0
42,4592.0,F-670,M,2022-12-09 21:26:17,10.0
43,2817.0,F-231,M,2022-09-12 00:00:00,9.75
44,1938.0,F-286,M,2022-08-12 21:26:17,9.7
45,3336.0,F-630,M,2022-08-17 21:24:02,9.7
46,3540.0,F-192,M,2022-09-19 21:26:17,9.7
47,2409.0,F-630,L,2022-08-08 11:20:36,9.7
48,8224.0,F-295,M,2022-10-29 21:26:17,9.0
49,1836.0,F-286,M,2022-08-20 21:26:17,9.0
50,4848.0,F-630,L,2022-09-27 21:26:17,9.0
51,1836.0,F-286,M,2022-09-10 21:26:17,9.0
52,4576.0,F-670,M,2022-09-02 02:59:48,8.5
53,6885.0,F-546,M,2022-08-24 04:01:06,8.0
54,7644.0,F-690,M,2022-09-17 21:26:17,8.0
55,4824.0,F-630,L,2022-08-08 21:26:17,8.0
56,3700.0,F-855,C,2022-11-16 21:26:17,8.0
57,3640.0,F-670,L,2022-08-11 21:24:02,8.0
58,1768.0,F-286,M,2022-09-28 21:26:17,8.0
59,1836.0,F-286,L,2022-08-08 19:19:40,8.0
60,4662.0,F-670,M,2022-11-01 00:00:00,8.0
61,5985.0,F-630,M,2022-08-07 21:24:02,8.0
62,5817.0,F-630,M,2022-10-26 21:26:17,8.0
63,4270.0,F-630,M,2022-08-13 21:26:17,8.0
64,6816.0,F-630,L,2022-08-11 21:24:02,8.0
65,4842.0,F-630,M,2022-08-24 00:08:01,8.0
66,8797.0,F-546,M,2022-08-03 21:24:02,8.0
67,5104.0,F-690,L,2022-08-02 23:37:08,8.0
68,6580.0,F-231,M,2022-08-07 21:26:17,8.0
69,6252.0,F-295,L,2022-08-30 21:26:17,8.0
70,7820.0,F-546,M,2022-09-26 02:59:05,8.0
71,8288.0,F-295,M,2023-01-15 02:59:05,8.0
72,5124.0,F-855,L,2022-08-03 07:24:02,8.0
73,9144.0,F-295,L,2022-08-06 21:24:02,8.0
74,1836.0,F-286,L,2022-08-08 21:26:17,8.0
75,4176.0,F-192,L,2022-08-18 21:26:17,8.0
76,2880.0,F-192,M,2022-09-02 21:26:17,8.0
77,3808.0,F-192,M,2022-12-30 21:26:17,8.0
78,2938.0,F-192,M,2022-08-02 21:24:02,8.0
79,4285.0,F-630,L,2022-09-27 21:26:17,8.0
80,4848.0,F-630,M,2022-09-27 21:26:17,8.0
81,5866.0,F-630,M,2022-08-04 00:00:00,8.0
82,6636.0,F-546,M,2022-08-03 21:24:02,8.0
83,4848.0,F-630,M,2022-10-19 21:26:17,8.0
84,2000.0,F-286,L,2022-08-10 00:00:00,8.0
85,8797.0,F-546,M,2022-08-03 13:17:31,8.0
86,5817.0,F-630,M,2022-10-01 21:26:17,8.0
87,3220.0,F-630,L,2022-08-10 21:26:17,8.0
88,3764.0,F-231,L,2022-08-09 21:26:17,8.0
89,5263.0,F-670,L,2022-08-02 23:59:00,8.0
90,5136.0,F-630,L,2022-08-07 21:24:02,8.0
91,3700.0,F-855,M,2023-01-19 21:26:17,7.0
92,4710.0,F-231,L,2022-08-14 21:26:17,7.0
93,5971.0,F-630,L,2022-08-09 15:52:24,7.0
94,4665.0,F-231,M,2022-08-11 21:24:02,7.0
95,7888.0,F-546,L,2022-08-10 10:18:53,6.5
96,4285.0,F-630,M,2022-08-12 21:26:17,6.0
97,5864.0,F-855,M,2022-12-05 02:59:05,6.0
98,4848.0,F-630,L,2022-08-29 08:45:57,6.0
99,6252.0,F-295,M,2022-08-03 21:30:12,6.0
100,8460.0,F-855,M,2022-09-24 21:26:17,6.0
101,4245.0,F-630,M,2022-08-09 21:26:17,6.0
102,5642.0,F-630,L,2022-08-10 11:12:44,6.0
103,1590.0,F-286,M,2022-08-05 21:26:17,6.0
104,3220.0,F-630,M,2022-08-04 21:26:17,6.0
105,1590.0,F-286,L,2022-08-08 10:34:19,6.0
106,5944.0,F-855,M,2022-10-14 21:26:17,6.0
107,6800.0,F-630,L,2022-08-09 21:24:02,6.0
108,7576.0,F-231,L,2022-08-02 21:26:17,6.0
109,8190.0,F-546,L,2022-08-30 21:26:17,6.0
110,2108.0,F-286,M,2022-08-04 10:01:52,6.0
111,6565.0,F-295,L,2022-08-10 21:26:17,6.0
112,4544.0,F-670,L,2022-08-07 21:24:02,6.0
113,6156.0,F-295,M,2022-08-12 21:24:02,6.0
114,4592.0,F-670,L,2022-08-12 21:24:02,6.0
115,2944.0,F-855,L,2022-11-07 21:26:17,6.0
116,6817.0,F-192,M,2022-08-06 21:27:39,6.0
117,3388.0,F-630,M,2022-12-24 21:26:17,6.0
