,Day,Month,Cycle
0,1,July,2
1,2,July,2
2,3,July,2
3,4,July,2
4,5,July,2
5,6,July,1
6,7,July,1
7,8,July,1
8,9,July,1
9,10,July,1
10,11,July,2
11,12,July,2
12,13,July,2
13,14,July,2
14,15,July,1
15,16,July,1
16,17,July,1
17,18,July,1
18,19,July,1
19,20,July,2
20,21,July,2
21,22,July,2
22,23,July,2
23,24,July,2
24,25,July,1
25,26,July,1
26,27,July,1
27,28,July,1
28,29,July,2
29,30,July,2
30,31,July,2
31,1,August,2
32,2,August,2
33,3,August,1
34,4,August,1
35,5,August,1
36,6,August,1
37,7,August,1
38,8,August,2
39,9,August,2
40,10,August,2
41,11,August,2
42,12,August,1
43,13,August,1
44,14,August,1
45,15,August,1
46,16,August,1
47,17,August,2
48,18,August,2
49,19,August,2
50,20,August,2
51,21,August,2
52,22,August,1
53,23,August,1
54,24,August,1
55,25,August,1
56,26,August,2
57,27,August,2
58,28,August,2
59,29,August,2
60,30,August,2
61,31,August,1
62,1,September,1
63,2,September,1
64,3,September,1
65,4,September,1
66,5,September,2
67,6,September,2
68,7,September,2
69,8,September,2
70,9,September,1
71,10,September,1
72,11,September,1
73,12,September,1
74,13,September,1
75,14,September,2
76,15,September,2
77,16,September,2
78,17,September,2
79,18,September,2
80,19,September,1
81,20,September,1
82,21,September,1
83,22,September,1
84,23,September,2
85,24,September,2
86,25,September,2
87,26,September,2
88,27,September,2
89,28,September,1
90,29,September,1
91,30,September,1
92,1,October,1
93,2,October,1
94,3,October,2
95,4,October,2
96,5,October,2
97,6,October,2
98,7,October,1
99,8,October,1
100,9,October,1
101,10,October,1
102,11,October,1
103,12,October,2
104,13,October,2
105,14,October,2
106,15,October,2
107,16,October,2
108,17,October,1
109,18,October,1
110,19,October,1
111,20,October,1
112,21,October,2
113,22,October,2
114,23,October,2
115,24,October,2
116,25,October,2
117,26,October,1
118,27,October,1
119,28,October,1
120,29,October,1
121,30,October,1
122,31,October,2
123,1,November,2
124,2,November,2
125,3,November,2
126,4,November,1
127,5,November,1
128,6,November,1
129,7,November,1
130,8,November,1
131,9,November,2
132,10,November,2
133,11,November,2
134,12,November,2
135,13,November,2
136,14,November,1
137,15,November,1
138,16,November,1
139,17,November,1
140,18,November,2
141,19,November,2
142,20,November,2
143,21,November,2
144,22,November,2
145,23,November,1
146,24,November,1
147,25,November,1
148,26,November,1
149,27,November,1
150,28,November,2
151,29,November,2
152,30,November,2
153,1,December,2
154,2,December,1
155,3,December,1
156,4,December,1
157,5,December,1
158,6,December,1
159,7,December,2
160,8,December,2
161,9,December,2
162,10,December,2
163,11,December,2
164,12,December,1
165,13,December,1
166,14,December,1
167,15,December,1
168,16,December,2
169,17,December,2
170,18,December,2
171,19,December,2
172,20,December,2
173,21,December,1
174,22,December,1
175,23,December,1
176,24,December,1
177,25,December,1
178,26,December,2
179,27,December,2
180,28,December,2
181,29,December,2
182,30,December,1
183,31,December,1
184,1,January,1
185,2,January,1
186,3,January,1
187,4,January,2
188,5,January,2
189,6,January,2
190,7,January,2
191,8,January,2
192,9,January,1
193,10,January,1
194,11,January,1
195,12,January,1
196,13,January,2
197,14,January,2
198,15,January,2
199,16,January,2
200,17,January,2
201,18,January,1
202,19,January,1
203,20,January,1
204,21,January,1
205,22,January,1
206,23,January,2
207,24,January,2
208,25,January,2
209,26,January,2
210,27,January,1
211,28,January,1
212,29,January,1
213,30,January,1
214,31,January,1
