,task_id,people,timestamp,ground_id,location,FIN Number,Fleet Type,DEFECT_TYPE,DUE_DATE,MAN_HOURS_VALUE,Task_type,ref_date,obj
0,59,9,2022-07-30 10:26:00.000000,7,YYZ,1836.0,F-286,L,2022-08-08 19:19:40,8.0,False,2022-07-30 00:01:00,0
1,74,9,2022-07-30 15:05:00.000000,12,YYZ,1836.0,F-286,L,2022-08-08 21:26:17,8.0,False,2022-07-30 00:01:00,0
2,530,3,2022-07-30 15:05:00.000000,12,YYZ,1836.0,F-286,L,2022-08-30 21:26:17,2.0,False,2022-07-30 00:01:00,0
3,643,5,2022-07-30 15:05:00.000000,12,YYZ,1836.0,F-286,L,2022-08-30 19:19:40,2.0,False,2022-07-30 00:01:00,0
4,1043,3,2022-07-30 15:05:00.000000,12,YYZ,1836.0,F-286,L,2022-08-16 21:26:17,1.0,False,2022-07-30 00:01:00,0
5,1447,1,2022-07-30 15:05:00.000000,12,YYZ,1836.0,F-286,M,2022-09-10 21:26:17,0.1,False,2022-07-30 00:01:00,0
6,338,3,2022-07-30 10:20:00.000000,15,YYZ,2108.0,F-286,L,2022-08-08 07:24:31,3.0,False,2022-07-30 00:01:00,0
7,84,9,2022-07-30 15:31:00.000000,17,YYZ,2000.0,F-286,L,2022-08-10 00:00:00,8.0,False,2022-07-30 00:01:00,0
8,507,4,2022-07-30 15:54:00.000000,17,YYZ,2000.0,F-286,L,2022-08-08 21:26:17,2.0,False,2022-07-30 00:01:00,0
9,552,4,2022-07-30 15:54:00.000000,17,YYZ,2000.0,F-286,L,2022-08-11 21:26:17,2.0,False,2022-07-30 00:01:00,0
10,602,5,2022-07-30 15:58:20.000000,17,YYZ,2000.0,F-286,L,2022-08-08 02:49:25,2.0,False,2022-07-30 00:01:00,0
11,1269,1,2022-07-30 15:45:00.000000,17,YYZ,2000.0,F-286,L,2022-08-03 21:26:17,0.5,False,2022-07-30 00:01:00,0
12,1270,10,2022-07-30 16:00:00.000000,17,YYZ,2000.0,F-286,M,2022-08-07 21:26:17,0.5,False,2022-07-30 00:01:00,0
13,105,11,2022-07-30 16:36:00.000000,19,YUL,1590.0,F-286,L,2022-08-08 10:34:19,6.0,False,2022-07-30 00:01:00,0
14,22,15,2022-07-30 17:23:00.000000,20,YYZ,1590.0,F-286,M,2022-08-04 21:26:17,11.0,False,2022-07-30 00:01:00,0
15,138,7,2022-07-30 17:18:00.000000,21,YYZ,2176.0,F-286,L,2022-08-11 21:26:17,6.0,False,2022-07-30 00:01:00,0
16,873,12,2022-07-30 17:18:00.000000,21,YYZ,2176.0,F-286,L,2022-08-03 21:26:17,1.0,False,2022-07-30 00:01:00,0
17,1342,1,2022-07-30 17:18:00.000000,21,YYZ,2176.0,F-286,L,2022-08-31 21:26:17,0.15,False,2022-07-30 00:01:00,0
18,350,3,2022-07-30 10:23:00.000000,23,YUL,1380.0,F-286,L,2022-08-05 21:26:17,3.0,False,2022-07-30 00:01:00,0
19,1278,1,2022-07-30 15:33:00.000000,26,YYC,2178.0,F-286,L,2022-08-08 12:46:21,0.5,False,2022-07-30 00:01:00,0
20,474,3,2022-07-30 11:52:00.000000,32,YUL,1582.0,F-286,L,2022-08-12 21:26:17,2.0,False,2022-07-30 00:01:00,0
21,785,3,2022-07-30 11:52:00.000000,32,YUL,1582.0,F-286,M,2022-08-04 21:26:17,2.0,False,2022-07-30 00:01:00,0
22,1448,1,2022-07-30 12:06:00.000000,32,YUL,1582.0,F-286,M,2022-08-24 21:26:17,0.1,False,2022-07-30 00:01:00,0
23,49,3,2022-07-30 00:07:00.000000,34,YUL,1836.0,F-286,M,2022-08-20 21:26:17,9.0,False,2022-07-30 00:01:00,0
24,197,6,2022-07-30 15:05:00.000000,35,YVR,2210.0,F-286,L,2022-08-10 21:26:17,5.0,False,2022-07-30 00:01:00,0
25,824,7,2022-07-30 15:55:00.000000,35,YVR,2210.0,F-286,M,2022-08-31 00:00:00,1.0,False,2022-07-30 00:01:00,0
26,559,2,2022-07-30 08:53:00.000000,39,YUL,2040.0,F-286,L,2022-08-08 21:26:17,2.0,False,2022-07-30 00:01:00,0
27,2,8,2022-07-30 17:09:00.000000,42,YUL,1605.0,F-286,M,2022-09-28 21:26:17,40.0,False,2022-07-30 00:01:00,0
28,35,2,2022-07-30 17:09:00.000000,42,YUL,1605.0,F-286,M,2022-09-28 21:26:17,10.0,False,2022-07-30 00:01:00,0
29,40,2,2022-07-30 17:09:00.000000,42,YUL,1605.0,F-286,M,2022-09-28 21:26:17,10.0,False,2022-07-30 00:01:00,0
30,816,2,2022-07-30 22:09:00.000000,42,YUL,1605.0,F-286,M,2022-08-04 21:26:17,1.0,False,2022-07-30 00:01:00,0
31,919,2,2022-07-30 22:09:00.000000,42,YUL,1605.0,F-286,M,2022-08-04 21:26:17,1.0,False,2022-07-30 00:01:00,0
32,428,5,2022-07-30 11:00:00.000000,44,YUL,1476.0,F-286,L,2022-08-11 21:26:17,3.0,False,2022-07-30 00:01:00,0
33,742,3,2022-07-30 11:00:00.000000,44,YUL,1476.0,F-286,L,2022-08-10 21:26:17,2.0,False,2022-07-30 00:01:00,0
34,882,2,2022-07-30 16:50:00.000000,45,YYC,2178.0,F-286,L,2022-08-07 21:26:17,1.0,False,2022-07-30 00:01:00,0
35,496,12,2022-07-30 11:00:00.000000,51,YYZ,1414.0,F-286,L,2022-08-16 21:26:17,2.0,False,2022-07-30 00:01:00,0
36,1305,1,2022-07-30 11:00:00.000000,51,YYZ,1414.0,F-286,M,2022-08-10 21:26:17,0.15,False,2022-07-30 00:01:00,0
37,1307,1,2022-07-30 11:00:00.000000,51,YYZ,1414.0,F-286,M,2022-08-10 21:26:17,0.15,False,2022-07-30 00:01:00,0
38,1366,1,2022-07-30 11:09:00.000000,51,YYZ,1414.0,F-286,M,2022-08-10 21:26:17,0.15,False,2022-07-30 00:01:00,0
39,1369,1,2022-07-30 11:09:00.000000,51,YYZ,1414.0,F-286,M,2022-08-10 21:26:17,0.15,False,2022-07-30 00:01:00,0
40,1405,1,2022-07-30 11:18:00.000000,51,YYZ,1414.0,F-286,M,2022-08-10 21:26:17,0.15,False,2022-07-30 00:01:00,0
41,1410,1,2022-07-30 11:19:20.000000,51,YYZ,1414.0,F-286,M,2022-08-10 21:26:17,0.15,False,2022-07-30 00:01:00,0
42,1445,1,2022-07-30 11:19:20.000000,51,YYZ,1414.0,F-286,M,2022-08-10 21:26:17,0.15,False,2022-07-30 00:01:00,0
43,888,3,2022-07-30 17:08:43.636364,56,YUL,1508.0,F-286,L,2022-08-03 21:26:17,1.0,False,2022-07-30 00:01:00,0
44,25,5,2022-07-30 00:42:00.000000,59,YYZ,1380.0,F-286,M,2022-08-09 21:26:17,10.0,False,2022-07-30 00:01:00,0
45,205,2,2022-07-30 00:42:00.000000,59,YYZ,1380.0,F-286,L,2022-08-29 16:32:32,4.5,False,2022-07-30 00:01:00,0
46,1330,1,2022-07-30 17:08:43.636364,61,YUL,1768.0,F-286,M,2022-08-03 21:26:17,0.15,False,2022-07-30 00:01:00,0
47,433,4,2022-07-30 11:23:00.000000,63,YUL,1440.0,F-286,L,2022-08-12 21:26:17,3.0,False,2022-07-30 00:01:00,0
48,849,2,2022-07-30 11:36:00.000000,63,YUL,1440.0,F-286,M,2022-09-29 21:26:17,1.0,False,2022-07-30 00:01:00,0
49,867,5,2022-07-30 11:40:00.000000,63,YUL,1440.0,F-286,M,2022-09-29 21:26:17,1.0,False,2022-07-30 00:01:00,0
50,889,1,2022-07-30 16:09:00.000000,67,YYC,2108.0,F-286,L,2022-09-26 21:26:17,1.0,False,2022-07-30 00:01:00,0
51,1352,1,2022-07-30 09:03:00.000000,70,YUL,1768.0,F-286,M,2022-08-03 21:26:17,0.15,False,2022-07-30 00:01:00,0
52,31,13,2022-07-30 11:10:00.000000,71,YYZ,2210.0,F-286,M,2022-08-06 00:00:00,10.0,False,2022-07-30 00:01:00,0
53,270,6,2022-07-30 11:19:20.000000,71,YYZ,2210.0,F-286,L,2022-08-05 21:26:17,4.0,False,2022-07-30 00:01:00,0
54,406,5,2022-07-30 11:20:00.000000,71,YYZ,2210.0,F-286,M,2022-08-05 21:26:17,3.0,False,2022-07-30 00:01:00,0
55,217,8,2022-07-30 17:10:00.000000,75,YYZ,1905.0,F-286,L,2022-08-22 21:26:17,4.0,False,2022-07-30 00:01:00,0
56,758,4,2022-07-30 17:10:00.000000,75,YYZ,1905.0,F-286,L,2022-08-27 21:26:17,2.0,False,2022-07-30 00:01:00,0
57,1220,8,2022-07-30 17:10:00.000000,75,YYZ,1905.0,F-286,L,2022-08-12 21:26:17,1.0,False,2022-07-30 00:01:00,0
58,791,12,2022-07-30 17:10:00.000000,75,YYZ,1905.0,F-286,M,2022-08-12 21:26:17,1.5,False,2022-07-30 00:01:00,0
59,500,5,2022-07-30 02:42:00.000000,78,YYZ,1575.0,F-286,L,2022-08-11 21:26:17,2.0,False,2022-07-30 00:01:00,0
60,231,5,2022-07-30 16:21:00.000000,82,YUL,2040.0,F-286,L,2022-08-08 21:26:17,4.0,False,2022-07-30 00:01:00,0
61,502,8,2022-07-30 16:21:00.000000,82,YUL,2040.0,F-286,L,2022-08-10 21:26:17,2.0,False,2022-07-30 00:01:00,0
62,44,11,2022-07-30 16:03:00.000000,84,YYZ,1938.0,F-286,M,2022-08-12 21:26:17,9.7,False,2022-07-30 00:01:00,0
63,845,2,2022-07-30 16:22:20.000000,84,YYZ,1938.0,F-286,M,2022-10-06 21:26:17,1.0,False,2022-07-30 00:01:00,0
64,861,2,2022-07-30 16:22:20.000000,84,YYZ,1938.0,F-286,M,2022-10-06 21:26:17,1.0,False,2022-07-30 00:01:00,0
65,881,2,2022-07-30 16:22:20.000000,84,YYZ,1938.0,F-286,M,2022-10-06 21:26:17,1.0,False,2022-07-30 00:01:00,0
66,927,2,2022-07-30 16:24:00.000000,84,YYZ,1938.0,F-286,M,2022-10-06 21:26:17,1.0,False,2022-07-30 00:01:00,0
67,966,2,2022-07-30 16:24:00.000000,84,YYZ,1938.0,F-286,M,2022-10-06 21:26:17,1.0,False,2022-07-30 00:01:00,0
68,984,2,2022-07-30 16:24:00.000000,84,YYZ,1938.0,F-286,M,2022-10-06 21:26:17,1.0,False,2022-07-30 00:01:00,0
69,985,2,2022-07-30 16:24:00.000000,84,YYZ,1938.0,F-286,M,2022-10-06 21:26:17,1.0,False,2022-07-30 00:01:00,0
70,1007,2,2022-07-30 16:24:20.000000,84,YYZ,1938.0,F-286,M,2022-10-06 21:26:17,1.0,False,2022-07-30 00:01:00,0
71,1016,2,2022-07-30 16:24:20.000000,84,YYZ,1938.0,F-286,M,2022-10-06 21:26:17,1.0,False,2022-07-30 00:01:00,0
72,1023,2,2022-07-30 16:24:20.000000,84,YYZ,1938.0,F-286,M,2022-10-06 21:26:17,1.0,False,2022-07-30 00:01:00,0
73,1024,2,2022-07-30 16:24:20.000000,84,YYZ,1938.0,F-286,M,2022-10-06 21:26:17,1.0,False,2022-07-30 00:01:00,0
74,1029,11,2022-07-30 16:54:00.000000,84,YYZ,1938.0,F-286,M,2022-10-06 21:26:17,1.0,False,2022-07-30 00:01:00,0
75,1042,11,2022-07-30 16:54:20.000000,84,YYZ,1938.0,F-286,M,2022-10-06 21:26:17,1.0,False,2022-07-30 00:01:00,0
76,1292,3,2022-07-30 17:28:43.636364,94,YUL,2000.0,F-286,M,2022-08-04 00:00:00,0.5,False,2022-07-30 00:01:00,0
77,527,2,2022-07-30 09:20:00.000000,97,YUL,1508.0,F-286,L,2022-08-12 21:26:17,2.0,False,2022-07-30 00:01:00,0
78,1242,1,2022-07-30 09:53:00.000000,97,YUL,1508.0,F-286,M,2023-01-23 21:26:17,1.0,False,2022-07-30 00:01:00,0
79,263,6,2022-07-30 15:14:00.000000,101,YYZ,1989.0,F-286,L,2022-08-06 21:26:17,4.0,False,2022-07-30 00:01:00,0
80,51,9,2022-07-30 09:20:00.000000,106,YYZ,1836.0,F-286,M,2022-09-10 21:26:17,9.0,False,2022-07-30 00:01:00,0
81,772,2,2022-07-30 09:20:00.000000,106,YYZ,1836.0,F-286,L,2022-08-23 21:26:17,2.0,False,2022-07-30 00:01:00,0
82,908,3,2022-07-30 16:15:00.000000,107,YUL,1768.0,F-286,L,2022-08-02 21:26:17,1.0,False,2022-07-30 00:01:00,0
